Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,HIVE-26891,13515803,Fix TestArrowColumnarBatchSerDe test failures in branch-3,Aggarwal_Raghav,Aggarwal_Raghav,Major,Resolved,Won't Fix,28/Dec/22 07:27,09/May/24 15:02,
Bug,HIVE-26544,13482052,Hive-3.0 build failed with artifact javax.jms:jms:jar:1.1 not found,basapuram.kumar,basapuram.kumar,Minor,Resolved,Workaround,18/Sep/22 13:16,12/Oct/23 15:08,
Bug,HIVE-25662,13409149,"JDBC driver returns "" java.lang.IllegalArgumentException: Unrecognized type name: timestamp with local time zone('Europe/Madrid') in the table's introspection",,idominguez,Blocker,Resolved,Fixed,29/Oct/21 16:11,06/Dec/21 12:28,29/Oct/21 00:00
Bug,HIVE-25443,13394600,Arrow SerDe Cannot serialize/deserialize complex data types When there are more than 1024 values,srahman,srahman,Major,Closed,Fixed,11/Aug/21 09:28,17/Nov/22 08:48,
Bug,HIVE-24964,13368959,Backport HIVE-22453: Describe table unnecessarily fetches partitions,kecheung,kecheung,Minor,Closed,Fixed,31/Mar/21 21:08,02/Apr/23 19:48,
Bug,HIVE-24595,13350744,Vectorization causing incorrect results for scalar subquery,mustafaiman,vgarg,Major,Closed,Invalid,06/Jan/21 20:01,27/Feb/24 22:23,
Bug,HIVE-23719,13312102,MetaStoreDirectSql need to optime QuerySQL,,YulongZ,Minor,Resolved,Fixed,18/Jun/20 04:01,27/Jul/20 08:55,
Bug,HIVE-23606,13309350,LLAP: Delay In DirectByteBuffer Clean Up For EncodedReaderImpl,srahman,srahman,Major,Closed,Fixed,04/Jun/20 05:25,17/Nov/22 08:48,
Bug,HIVE-23454,13304428,Querying hive table which has Materialized view fails with HiveAccessControlException,vgarg,chiran54321,Critical,Closed,Fixed,12/May/20 18:22,17/Nov/22 08:47,
Bug,HIVE-23033,13292019,MSSQL metastore schema init script doesn't initialize NOTIFICATION_SEQUENCE,dlavati,dlavati,Major,Closed,Fixed,16/Mar/20 17:01,17/Nov/22 08:49,
Bug,HIVE-22769,13281335,Incorrect query results and query failure during split generation for compressed text files,pgaref,chiran54321,Critical,Closed,Fixed,24/Jan/20 06:00,17/Nov/22 08:50,
Bug,HIVE-22758,13280901,Create database with permission error when doas set to true,chiran54321,chiran54321,Critical,Closed,Duplicate,22/Jan/20 04:41,16/Nov/22 13:50,
Bug,HIVE-22639,13274176,Bucket file name does not match bucket id after query based major compaction,hamvas.aron,hamvas.aron,Major,Resolved,Won't Do,12/Dec/19 14:56,14/Feb/20 14:54,
Bug,HIVE-22578,13272178,CBO genOPTree is not failsafe for CTAS and VIEW statements,hamvas.aron,hamvas.aron,Major,Closed,Fixed,04/Dec/19 10:04,27/Feb/24 22:23,
Bug,HIVE-22412,13264779,StatsUtils throw NPE when explain,xiepengjie,xiepengjie,Major,Closed,Fixed,28/Oct/19 09:42,17/Nov/22 08:51,
Bug,HIVE-22247,13259051,HiveHFileOutputFormat throws FileNotFoundException when partition's task output empty,ayushtkn,xiepengjie,Major,Resolved,Fixed,26/Sep/19 13:13,08/Sep/21 11:15,
Bug,HIVE-22201,13256491,ConvertJoinMapJoin#checkShuffleSizeForLargeTable throws ArrayIndexOutOfBoundsException if no big table is selected,himanshum,himanshum,Major,Closed,Fixed,13/Sep/19 09:40,17/Nov/22 08:50,
Bug,HIVE-22108,13250682,Cannot use structured field in a window function for a text table,,xinxianyin,Major,Resolved,Duplicate,14/Aug/19 02:46,06/Dec/19 01:38,
Bug,HIVE-21999,13245230,Add sensitive ABFS configuration properties to HiveConf hidden list,hamvas.aron,hamvas.aron,Major,Closed,Fixed,16/Jul/19 14:40,17/Nov/22 08:50,
Bug,HIVE-21837,13237740,MapJoin is throwing exception when selected column is having completely null values,nareshpr,nareshpr,Major,Closed,Fixed,05/Jun/19 14:44,17/Nov/22 08:50,
Bug,HIVE-21831,13237526,Stats should be reset correctly during load of a partitioned ACID table,dlavati,dlavati,Major,Closed,Fixed,04/Jun/19 15:52,17/Nov/22 08:49,
Bug,HIVE-21614,13228128,Derby/Oracle does not support CLOB comparisons,dengzh,vrozov,Major,Resolved,Fixed,15/Apr/19 15:07,09/Oct/24 05:02,
Bug,HIVE-21573,13226055,Binary transport shall ignore principal if auth is set to delegationToken,dionusos,dionusos,Critical,Closed,Fixed,04/Apr/19 06:47,17/Nov/22 08:50,
Bug,HIVE-21280,13216146,Null pointer exception on running compaction against a MM table.,aditya-shah,aditya-shah,Major,Closed,Fixed,16/Feb/19 11:28,17/Nov/22 08:55,
Bug,HIVE-21238,13214930,Fix Surrogate Key issue,mgergely,mgergely,Major,Closed,Fixed,11/Feb/19 07:25,17/Nov/22 08:54,
Bug,HIVE-21177,13212616,Optimize AcidUtils.getLogicalLength(),ekoifman,ekoifman,Major,Closed,Fixed,29/Jan/19 17:57,17/Nov/22 08:55,
Bug,HIVE-21146,13211059,Enforce TransactionBatch size=1 for blob stores,dlavati,ekoifman,Major,Resolved,Fixed,22/Jan/19 18:30,05/Dec/19 10:52,
Bug,HIVE-21106,13208449,Potential NEP in VectorizedOrcAcidRowBatchReader.ColumnizedDeleteEventRegistry,ekoifman,ekoifman,Major,Closed,Won't Fix,09/Jan/19 01:37,16/Nov/22 13:50,
Bug,HIVE-21104,13208431,PTF with nested structure throws ClassCastException,rajesh.balamohan,rajesh.balamohan,Major,Closed,Fixed,08/Jan/19 23:25,17/Nov/22 08:55,
Bug,HIVE-21075,13206803,Metastore: Drop partition performance downgrade with Postgres DB,osayankin,ychena,Major,Closed,Fixed,28/Dec/18 11:21,17/Nov/22 08:54,
Bug,HIVE-21074,13206780,Hive bucketed table query pruning does not work for IS NOT NULL condition,szita,thaibui,Minor,Closed,Fixed,28/Dec/18 08:23,17/Nov/22 08:55,
Bug,HIVE-21052,13205008,Make sure transactions get cleaned if they are aborted before addPartitions is called,jmarhuen,jmarhuen,Critical,Resolved,Fixed,17/Dec/18 23:05,05/Oct/21 08:36,
Bug,HIVE-21033,13203987,Forgetting to close operation cuts off any more HiveServer2 output,szehon,szehon,Major,Closed,Fixed,12/Dec/18 13:05,17/Nov/22 08:55,
Bug,HIVE-21029,13203630,External table replication for existing deployments running incremental replication.,sankarh,anishek,Critical,Closed,Fixed,11/Dec/18 06:05,17/Nov/22 08:55,
Bug,HIVE-21028,13203585,get_table_meta should use a fetch plan to avoid race conditions ending up in NucleusObjectNotFoundException,karthik.manamcheri,karthik.manamcheri,Major,Closed,Fixed,11/Dec/18 00:52,17/Nov/22 08:54,
Bug,HIVE-20941,13199453,Compactor produces a delete_delta_x_y even if there are no input delete events,ikryvenko,ekoifman,Major,Closed,Fixed,19/Nov/18 22:25,17/Nov/22 08:55,
Bug,HIVE-20843,13195275,RELY constraints on primary keys and foreign keys are not recognized,anuragmantri,anuragmantri,Major,Resolved,Duplicate,31/Oct/18 00:29,05/Dec/19 14:46,
Bug,HIVE-20659,13188354,Update commons-compress to 1.18 due to security issues,bharos92,jornfranke,Critical,Closed,Fixed,29/Sep/18 20:04,17/Nov/22 08:54,
Bug,HIVE-20610,13186405,TestDbNotificationListener should not use /tmp directory,bharos92,bharos92,Major,Closed,Fixed,20/Sep/18 16:54,17/Nov/22 08:55,
Bug,HIVE-20601,13186157,EnvironmentContext null in ALTER_PARTITION event in DbNotificationListener,bharos92,bharos92,Major,Closed,Fixed,19/Sep/18 20:27,17/Nov/22 08:55,
Bug,HIVE-20586,13185822,Beeline is asking for user/pass when invoked without -u,gubjanos,dvoros,Major,Resolved,Duplicate,18/Sep/18 14:46,12/Dec/18 13:54,
Bug,HIVE-20435,13180345,Failed Dynamic Partition Insert into insert only table may loose transaction metadata,ekoifman,ekoifman,Critical,Closed,Won't Fix,22/Aug/18 00:40,16/Nov/22 13:50,
Bug,HIVE-20410,13179488,"aborted Insert Overwrite on transactional table causes ""Not enough history available for..."" error",ekoifman,ekoifman,Major,Closed,Fixed,17/Aug/18 00:51,17/Nov/22 08:54,
Bug,HIVE-20406,13179433,Nested Coalesce giving incorrect results,vgarg,rtrivedi12,Critical,Closed,Fixed,16/Aug/18 18:36,17/Nov/22 08:55,
Bug,HIVE-20342,13177787,Create table from CTAS with location fails for managed tables,,pidiaquez,Blocker,Resolved,Duplicate,08/Aug/18 20:46,11/Sep/18 09:37,
Bug,HIVE-20337,13177728,CachedStore: getPartitionsByExpr is not populating the partition list correctly,vgumashta,vgumashta,Major,Resolved,Fixed,08/Aug/18 17:01,09/Aug/18 19:04,
Bug,HIVE-20318,13177135,NullPointerException when union with lateral view,ryu_kobayashi,tiana528,Blocker,Resolved,Duplicate,06/Aug/18 15:16,05/Aug/24 01:22,06/Aug/18 00:00
Bug,HIVE-20274,13175698,HiveServer2 ObjectInspectorFactory leaks for Struct and List object inspectors,prasanth_j,gopalv,Major,Closed,Fixed,30/Jul/18 22:43,17/Nov/22 08:55,
Bug,HIVE-20258,13175266,Should Syncronize getInstance in ReplChangeManager,belugabehr,belugabehr,Minor,Closed,Fixed,27/Jul/18 20:08,17/Nov/22 08:54,
Bug,HIVE-20228,13173993,configure repl configuration directories based on user running hiveserver2,anishek,anishek,Major,Closed,Fixed,24/Jul/18 03:45,17/Nov/22 08:55,
Bug,HIVE-20226,13173935,HMS getNextNotification will throw exception when request maxEvents exceed table's max_rows,afan,afan,Major,Closed,Fixed,23/Jul/18 21:58,17/Nov/22 08:54,
Bug,HIVE-20209,13173119,Metastore connection fails for first attempt in repl dump.,sankarh,sankarh,Major,Closed,Fixed,19/Jul/18 07:07,17/Nov/22 08:55,
Bug,HIVE-20205,13173017,Upgrade HBase dependencies off alpha4 release,ngangam,ngangam,Minor,Resolved,Won't Fix,18/Jul/18 19:50,07/Apr/22 16:06,
Bug,HIVE-20193,13172666,cboInfo is not present in the explain plan json,anishek,anishek,Major,Closed,Fixed,17/Jul/18 14:11,17/Nov/22 08:55,
Bug,HIVE-20192,13172602,HS2 with embedded metastore is leaking JDOPersistenceManager objects.,sankarh,sankarh,Major,Closed,Fixed,17/Jul/18 09:40,17/Nov/22 08:54,
Bug,HIVE-20185,13172393,Backport HIVE-20111 to branch-3,dvoros,dvoros,Major,Resolved,Fixed,16/Jul/18 12:42,30/Jul/18 11:53,
Bug,HIVE-20184,13172392,Backport HIVE-20085 to branch-3,dvoros,dvoros,Major,Resolved,Fixed,16/Jul/18 12:37,27/Jul/18 11:39,
Bug,HIVE-20182,13172390,Backport HIVE-20067 to branch-3,dvoros,dvoros,Major,Resolved,Fixed,16/Jul/18 12:29,19/Mar/23 20:28,
Bug,HIVE-20181,13172388,Backport HIVE-20045 to branch-3,dvoros,dvoros,Major,Resolved,Fixed,16/Jul/18 12:21,23/Jul/18 15:02,
Bug,HIVE-20180,13172386,Backport HIVE-19759 to branch-3,dvoros,dvoros,Major,Resolved,Fixed,16/Jul/18 12:16,23/Jul/18 15:02,
Bug,HIVE-20168,13172050,ReduceSinkOperator Logging Hidden,bharos92,belugabehr,Minor,Closed,Fixed,13/Jul/18 14:42,17/Nov/22 08:54,
Bug,HIVE-20152,13171739,"reset db state, when repl dump fails, so rename table can be done",anishek,anishek,Critical,Closed,Fixed,12/Jul/18 13:54,17/Nov/22 08:54,
Bug,HIVE-20112,13170596,Accumulo-Hive (managed) table creation fails with strict managed table checks: Table is marked as a managed table but is not transactional,jcamacho,romil.choksi,Major,Closed,Fixed,06/Jul/18 22:12,27/Feb/24 21:52,
Bug,HIVE-20111,13170594,HBase-Hive (managed) table creation fails with strict managed table checks: Table is marked as a managed table but is not transactional,jcamacho,romil.choksi,Major,Closed,Fixed,06/Jul/18 21:52,27/Feb/24 22:23,
Bug,HIVE-20105,13170488,"Druid-Hive: tpcds query on timestamp throws java.lang.IllegalArgumentException: Cannot create timestamp, parsing error",nishantbangarwa,dileep529,Major,Closed,Fixed,06/Jul/18 13:36,27/Feb/24 22:23,
Bug,HIVE-20103,13170420,WM: Only Aggregate DAG counters if at least one is used,gopalv,gopalv,Major,Closed,Fixed,06/Jul/18 07:02,17/Nov/22 08:54,
Bug,HIVE-20088,13170069,Beeline config location path is assembled incorrectly,dionusos,dionusos,Critical,Closed,Fixed,04/Jul/18 12:56,17/Nov/22 08:55,
Bug,HIVE-20085,13170038,Druid-Hive (managed) table creation fails with strict managed table checks: Table is marked as a managed table but is not transactional,nishantbangarwa,dileep529,Major,Closed,Fixed,04/Jul/18 10:30,17/Nov/22 08:54,
Bug,HIVE-20076,13169894,ACID: Fix Synthetic ROW__ID generation for vectorized orc readers,teddy.choi,teddy.choi,Major,Closed,Fixed,03/Jul/18 18:27,31/Jul/18 01:33,
Bug,HIVE-20043,13169382,HiveServer2: SessionState has a static sync block around an AtomicBoolean,abstractdog,gopalv,Major,Closed,Fixed,01/Jul/18 05:59,17/Nov/22 08:55,
Bug,HIVE-20040,13169362,JDBC: HTTP listen queue is 50 and SYNs are lost,gopalv,gopalv,Major,Resolved,Fixed,30/Jun/18 22:12,31/Jul/18 21:13,
Bug,HIVE-20039,13169339,Bucket  pruning: Left Outer Join on bucketed table gives wrong result,djaiswal,djaiswal,Major,Closed,Fixed,30/Jun/18 17:13,17/Nov/22 08:54,
Bug,HIVE-20025,13168926,Clean-up of event files created by HiveProtoLoggingHook.,sankarh,sankarh,Major,Closed,Fixed,28/Jun/18 17:08,17/Nov/22 08:54,
Bug,HIVE-20021,13168754,LLAP: Fall back to Synthetic File-ids when getting a HdfsConstants.GRANDFATHER_INODE_ID,gopalv,gopalv,Major,Resolved,Fixed,28/Jun/18 02:14,06/Jul/18 22:47,
Bug,HIVE-20001,13168484,"With doas set to true, running select query as hrt_qa user on external table fails due to permission denied to read /warehouse/tablespace/managed directory.",jmarhuen,jmarhuen,Critical,Closed,Duplicate,26/Jun/18 22:35,16/Nov/22 13:50,
Bug,HIVE-19965,13167486,Make HiveEndPoint use IMetaStoreClient.add_partition,ekoifman,ekoifman,Blocker,Closed,Fixed,21/Jun/18 21:06,31/Jul/18 01:32,
Bug,HIVE-19946,13166923,VectorizedRowBatchCtx.recordIdColumnVector cannot be shared between different JVMs,teddy.choi,teddy.choi,Major,Closed,Fixed,19/Jun/18 12:43,21/Oct/22 06:59,
Bug,HIVE-19917,13166476,Export of full CRUD transactional table fails if table is not in default database,ekoifman,ekoifman,Major,Closed,Fixed,15/Jun/18 22:06,31/Jul/18 01:32,
Bug,HIVE-19912,13166424,"Schema evolution checks prints a log line in INFO mode for each vectorized rowbatch, impacts performance",ndembla,ndembla,Major,Closed,Fixed,15/Jun/18 16:48,21/Oct/22 06:59,
Bug,HIVE-19908,13166270,Block Insert Overwrite with Union All on full CRUD ACID tables using HIVE_UNION_SUBDIR_,ekoifman,ekoifman,Blocker,Closed,Fixed,15/Jun/18 05:41,31/Jul/18 01:33,
Bug,HIVE-19890,13165973,ACID: Inherit bucket-id from original ROW_ID for delete deltas,gopalv,gopalv,Major,Closed,Fixed,14/Jun/18 00:08,22/Oct/18 23:36,
Bug,HIVE-19888,13165957,"Misleading ""METASTORE_FILTER_HOOK will be ignored"" warning from SessionState",vanzin,vanzin,Minor,Closed,Fixed,13/Jun/18 22:31,17/Nov/22 08:55,
Bug,HIVE-19871,13165621,"add_partitions, create constraint calls and create_table_with_constraints do not properly handle client being configured with a non-Hive catalog.",gates,gates,Major,Resolved,Fixed,12/Jun/18 16:53,14/Jun/18 01:54,
Bug,HIVE-19861,13165429,Fix temp table path generation for acid table export,jdere,jdere,Major,Closed,Fixed,11/Jun/18 21:29,21/Oct/22 06:59,
Bug,HIVE-19850,13165239,Dynamic partition pruning in Tez is leading to 'No work found for tablescan' error,ganeshas,ganeshas,Major,Closed,Fixed,11/Jun/18 05:18,17/Nov/22 08:55,
Bug,HIVE-19814,13164395,RPC Server port is always random for spark,bharos92,tiboun,Major,Closed,Fixed,06/Jun/18 08:01,17/Nov/22 08:55,
Bug,HIVE-19806,13164287,Several tests do not properly sort their output,gates,gates,Major,Closed,Fixed,05/Jun/18 20:55,17/Nov/22 08:55,
Bug,HIVE-19801,13164231,JDBC: Add some missing classes to jdbc standalone jar and remove hbase classes,thejas,vgumashta,Major,Closed,Fixed,05/Jun/18 17:30,21/Oct/22 06:59,
Bug,HIVE-19771,13163559,allowNullColumnForMissingStats should not be false when column stats are estimated,jcamacho,jcamacho,Major,Closed,Fixed,01/Jun/18 23:04,27/Feb/24 22:24,
Bug,HIVE-19750,13163253,Initialize NEXT_WRITE_ID. NWI_NEXT on converting an existing table to full acid,ekoifman,ekoifman,Critical,Closed,Fixed,31/May/18 19:29,31/Jul/18 01:33,
Bug,HIVE-19749,13163246,Acid V1 to V2 upgrade,ekoifman,ekoifman,Critical,Closed,Fixed,31/May/18 18:51,17/Nov/22 08:54,
Bug,HIVE-19734,13162662,"Beeline: When beeline-site.xml is present, beeline does not honor -n (username) and -p (password) arguments",vgumashta,vgumashta,Major,Closed,Fixed,29/May/18 17:46,31/Jul/18 01:32,
Bug,HIVE-19728,13162564,beeline with USE_BEELINE_FOR_HIVE_CLI fails when trying to set hive.aux.jars.path,dvoros,dvoros,Major,Closed,Fixed,29/May/18 12:06,31/Jul/18 01:32,
Bug,HIVE-19718,13162174,Adding partitions in bulk also fetches table for each partition,pvary,akolb,Major,Closed,Fixed,25/May/18 23:08,17/Nov/22 08:54,
Bug,HIVE-19711,13161989,Refactor Hive Schema Tool,mgergely,mgergely,Minor,Closed,Fixed,25/May/18 06:39,17/Nov/22 08:54,
Bug,HIVE-19710,13161982,Hive Schema Tool createCatalog command is not working with postgres DB,mgergely,mgergely,Major,Resolved,Duplicate,25/May/18 06:10,01/Oct/19 22:06,
Bug,HIVE-19695,13161793,Year Month Day extraction functions need to add an implicit cast for column that are String types,bslim,bslim,Major,Closed,Fixed,24/May/18 14:39,31/Jul/18 01:32,
Bug,HIVE-19694,13161779,Create Materialized View statement should check for MV name conflicts before running MV's SQL statement. ,mgergely,ndembla,Major,Closed,Fixed,24/May/18 14:10,17/Nov/22 08:55,
Bug,HIVE-19691,13161650,Start SessionState in materialized views registry,jcamacho,jcamacho,Major,Closed,Fixed,24/May/18 02:47,27/Feb/24 22:23,
Bug,HIVE-19687,13161630,Export table on acid partitioned table is failing,vgarg,vgarg,Major,Closed,Fixed,23/May/18 23:37,31/Jul/18 01:33,
Bug,HIVE-19686,13161629,schematool  --createCatalog option fails when using Oracle as the RDBMS,gates,gates,Major,Resolved,Fixed,23/May/18 23:35,29/May/18 18:55,
Bug,HIVE-19680,13161524,Push down limit is not applied for Druid storage handler.,bslim,bslim,Blocker,Closed,Fixed,23/May/18 17:13,21/Oct/22 07:00,
Bug,HIVE-19675,13161426,Cast to timestamps on Druid time column leads to an exception,bslim,bslim,Major,Closed,Fixed,23/May/18 13:31,27/Feb/24 22:23,
Bug,HIVE-19661,13161183,switch Hive UDFs to use Re2J regex engine,Rajkumar Singh,Rajkumar Singh,Major,Closed,Fixed,22/May/18 20:57,01/Dec/22 08:57,
Bug,HIVE-19658,13161148,Update Hive to use ORC 1.4.4,,dongjoon,Major,Resolved,Won't Fix,22/May/18 17:59,27/Feb/24 22:23,
Bug,HIVE-19599,13160160,Release Notes : Highlighting backwards incompatible changes,vgarg,ekoifman,Blocker,Resolved,Fixed,17/May/18 21:12,22/May/18 20:01,
Bug,HIVE-19577,13159864,CREATE TEMPORARY TABLE LIKE  and INSERT generate output format mismatch errors,steveyeom2017,steveyeom2017,Major,Closed,Fixed,16/May/18 22:22,27/Feb/24 22:23,
Bug,HIVE-19576,13159859,IHMSHandler.getTable not always fetching the right catalog,gates,gates,Major,Resolved,Fixed,16/May/18 22:18,29/May/18 19:39,
Bug,HIVE-19570,13159711,"Multiple inserts using ""Group by"" and ""Distinct""  generates incorrect results",rtrivedi12,rtrivedi12,Critical,Resolved,Duplicate,16/May/18 12:22,31/May/18 07:36,
Bug,HIVE-19569,13159591,alter table db1.t1 rename db2.t2 generates MetaStoreEventListener.onDropTable(),maheshk114,ekoifman,Major,Closed,Fixed,16/May/18 03:40,21/Oct/22 06:59,
Bug,HIVE-19558,13159463,HiveAuthorizationProviderBase gets catalog name from config rather than db object,gates,gates,Major,Resolved,Fixed,15/May/18 16:44,01/Oct/19 22:07,
Bug,HIVE-19531,13159220,TransactionalValidationListener is getting catalog name from conf instead of table object.,gates,gates,Blocker,Resolved,Fixed,14/May/18 22:54,22/May/18 21:33,
Bug,HIVE-19504,13158782,Change default value for hive.auto.convert.join.shuffle.max.size property,jcamacho,jcamacho,Major,Closed,Fixed,11/May/18 17:53,27/Feb/24 22:23,
Bug,HIVE-19497,13158620,SessionHiveMetaStoreClient.getTable should respect default catalog,dongjoon,dongjoon,Blocker,Resolved,Fixed,11/May/18 01:19,01/Oct/19 22:07,
Bug,HIVE-19483,13158351,Metastore cleaner tasks that run periodically are created more than once,jcamacho,jcamacho,Major,Closed,Fixed,10/May/18 02:02,27/Feb/24 22:23,
Bug,HIVE-19481,13158303,Tablesample uses incorrect logic to pick files corresponding to buckets.,djaiswal,steveyeom2017,Major,Closed,Fixed,09/May/18 21:44,21/Oct/22 06:59,
Bug,HIVE-19476,13158148,"Fix failures in TestReplicationScenariosAcidTables, TestReplicationOnHDFSEncryptedZones and TestCopyUtils",sankarh,sankarh,Major,Closed,Fixed,09/May/18 10:12,05/Jun/18 19:24,
Bug,HIVE-19435,13157502,Incremental replication cause data loss if a table is dropped followed by create and insert-into with different partition type.,sankarh,sankarh,Major,Closed,Fixed,07/May/18 06:08,22/May/18 23:13,
Bug,HIVE-19430,13157343,ObjectStore.cleanNotificationEvents OutOfMemory on large number of pending events,ashutosh.bapat,thejas,Major,Closed,Fixed,05/May/18 06:41,17/Nov/22 08:55,
Bug,HIVE-19419,13157041,SharedScanOptimizer may leave unnecessary operators in the plan,jcamacho,jcamacho,Major,Resolved,Duplicate,04/May/18 05:31,27/Feb/24 22:13,
Bug,HIVE-19389,13156721,"Schematool: For Hive's Information Schema, use embedded HS2 as default",vgumashta,vgumashta,Major,Closed,Fixed,02/May/18 22:37,31/Jul/18 01:33,
Bug,HIVE-19388,13156712,ClassCastException during VectorMapJoinCommonOperator initialization,vihangk1,vihangk1,Major,Closed,Fixed,02/May/18 21:46,17/Nov/22 08:55,
Bug,HIVE-19385,13156670,Optional hive env variable to redirect bin/hive to use Beeline,vgumashta,vgumashta,Major,Closed,Fixed,02/May/18 17:51,31/Jul/18 01:33,
Bug,HIVE-19382,13156495,Acquire locks before generating valid transaction list for some operations,jcamacho,jcamacho,Major,Closed,Fixed,02/May/18 02:42,27/Feb/24 22:23,
Bug,HIVE-19365,13156241,Index on COMPLETED_TXN_COMPONENTS in Metastore RDBMS has different names in different scripts,gates,gates,Blocker,Closed,Fixed,30/Apr/18 22:28,27/Feb/24 22:23,
Bug,HIVE-19364,13156240,autoColumnStats_10.q test results for TestMiniLlapLocalCliDriver with insert-only transactional table does not match those with non-transactional table,steveyeom2017,steveyeom2017,Major,Resolved,Duplicate,30/Apr/18 22:27,02/May/18 16:19,
