Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,HIVE-16208,13056042,Vectorization: ProcessingModeHashAggregate::sumBatchSize is never reset,gopalv,gopalv,Minor,Resolved,Fixed,14/Mar/17 19:03,21/Jul/17 18:45,
Bug,HIVE-16193,13055772,Hive show compactions not reflecting the status of the application,wzheng,kavansuresh@gmail.com,Major,Closed,Fixed,13/Mar/17 23:44,25/Jul/17 20:05,
Bug,HIVE-16190,13055736,Support expression in merge statement,pxiong,pxiong,Major,Resolved,Fixed,13/Mar/17 21:45,21/Jul/17 18:46,
Bug,HIVE-16187,13050534,Flaky Tests:TestHostAffinitySplitLocationProvider#testConsistentHashingFallback usually timed out,ferhui,ferhui,Major,Resolved,Fixed,13/Mar/17 11:46,21/Jul/17 18:45,
Bug,HIVE-16180,13050193,LLAP: Native memory leak in EncodedReader,sershe,prasanth_j,Critical,Resolved,Fixed,11/Mar/17 00:39,21/Jul/17 18:46,
Bug,HIVE-16174,13049982,Update MetricsConstant.WAITING_COMPILE_OPS metric when we aquire lock failed in Driver,yunfeiliu,yunfeiliu,Minor,Closed,Fixed,10/Mar/17 09:33,22/May/18 23:59,
Bug,HIVE-16165,13049825,use database broken on master,,sseth,Blocker,Resolved,Invalid,10/Mar/17 00:46,10/Mar/17 00:58,
Bug,HIVE-16150,13049418,LLAP: HiveInputFormat:getRecordReader: Fix log statements to reduce memory pressure,prasanth_j,rajesh.balamohan,Major,Resolved,Fixed,08/Mar/17 22:34,21/Jul/17 18:46,
Bug,HIVE-16141,13049047,SQL auth whitelist configs should have a config for appending to existing list,,prasanth_j,Major,Resolved,Invalid,07/Mar/17 22:13,07/Mar/17 22:21,
Bug,HIVE-16117,13048461,SortProjectTransposeRule should check for monotonicity preserving CAST,jcamacho,jcamacho,Major,Closed,Fixed,06/Mar/17 08:55,27/Feb/24 22:24,
Bug,HIVE-16113,13048357,PartitionPruner::removeNonPartCols needs to handle AND/OR cases,rusanu,gopalv,Major,Closed,Fixed,05/Mar/17 12:34,01/Dec/23 09:46,
Bug,HIVE-16109,13048215,TestDbTxnManager generates a huge hive.log,vihangk1,vihangk1,Major,Resolved,Fixed,03/Mar/17 23:49,21/Jul/17 18:46,
Bug,HIVE-16103,13048150,LLAP: Scheduler timeout monitor never stops with slot nodes,prasanth_j,prasanth_j,Major,Resolved,Fixed,03/Mar/17 19:39,21/Jul/17 18:46,
Bug,HIVE-16102,13047962,Grouping sets do not conform to SQL standard,jcamacho,jcamacho,Critical,Resolved,Fixed,03/Mar/17 09:53,27/Feb/24 22:24,
Bug,HIVE-16101,13047956,QTest failure BeeLine escape_comments after HIVE-16045,pvary,pvary,Minor,Resolved,Fixed,03/Mar/17 09:38,21/Jul/17 18:45,
Bug,HIVE-16100,13047939,Dynamic Sorted Partition optimizer loses sibling operators,vgarg,gopalv,Major,Closed,Fixed,03/Mar/17 08:27,17/Nov/22 08:54,
Bug,HIVE-16094,13047834,queued containers may timeout if they don't get to run for a long time,sseth,sseth,Critical,Closed,Fixed,02/Mar/17 22:49,25/Jul/17 20:05,
Bug,HIVE-16087,13047609,Remove multi append of log4j.configurationFile in hive script,prasanth_j,prasanth_j,Trivial,Resolved,Fixed,02/Mar/17 08:58,21/Jul/17 18:45,
Bug,HIVE-16072,13047182,LLAP: Add some additional jvm metrics for hadoop-metrics2 ,prasanth_j,prasanth_j,Major,Resolved,Fixed,01/Mar/17 03:52,21/Jul/17 18:46,
Bug,HIVE-16070,13047172,fix nonReserved list in IdentifiersParser.g,ekoifman,ekoifman,Major,Resolved,Fixed,01/Mar/17 03:01,21/Jul/17 18:46,
Bug,HIVE-16057,13046981,SchemaTool ignores --passWord argument if hadoop.security.credential.provider.path is configured,pvary,pvary,Major,Closed,Fixed,28/Feb/17 14:03,22/May/18 23:59,
Bug,HIVE-16054,13046869,AMReporter should use application token instead of ugi.getCurrentUser,prasanth_j,rajesh.balamohan,Major,Resolved,Fixed,28/Feb/17 05:33,21/Jul/17 18:46,
Bug,HIVE-16050,13046723,Regression: Union of null with non-null ,gopalv,gopalv,Major,Closed,Fixed,27/Feb/17 19:17,25/Jul/17 20:05,
Bug,HIVE-16043,13046536,TezConfiguration.TEZ_QUEUE_NAME instead of tez.queue.name,ferhui,ferhui,Major,Resolved,Fixed,27/Feb/17 04:33,21/Jul/17 18:45,
Bug,HIVE-16034,13045996,Hive/Druid integration: Fix type inference for Decimal DruidOutputFormat,jcamacho,jcamacho,Major,Closed,Fixed,24/Feb/17 11:44,27/Feb/24 22:23,
Bug,HIVE-16033,13045882,LLAP: Use PrintGCDateStamps for gc logging,prasanth_j,prasanth_j,Major,Closed,Fixed,24/Feb/17 04:20,25/Jul/17 20:05,
Bug,HIVE-16028,13045726,Fail UPDATE/DELETE/MERGE queries when Ranger authorization manager is used,wzheng,wzheng,Major,Closed,Fixed,23/Feb/17 19:16,25/Jul/17 20:04,
Bug,HIVE-16024,13045642,MSCK Repair Requires nonstrict hive.mapred.mode,zsombor.klara,zsombor.klara,Major,Resolved,Fixed,23/Feb/17 15:09,21/Jul/17 18:46,
Bug,HIVE-16023,13045601,Wrong estimation for number of rows generated by IN expression,jcamacho,jcamacho,Major,Closed,Fixed,23/Feb/17 12:03,27/Feb/24 22:24,
Bug,HIVE-16013,13045420,Fragments without locality can stack up on nodes,prasanth_j,sseth,Major,Closed,Fixed,22/Feb/17 22:37,25/Jul/17 20:04,
Bug,HIVE-16007,13045234,When the query does not complie the LogRunnable never stops,pvary,pvary,Major,Closed,Fixed,22/Feb/17 13:41,22/May/18 23:58,
Bug,HIVE-15999,13044985,Fix flakiness in TestDbTxnManager2,wzheng,wzheng,Major,Closed,Fixed,21/Feb/17 22:05,25/Jul/17 20:05,
Bug,HIVE-15994,13044788,Grouping function error when grouping sets are not specified,jcamacho,cartershanklin,Major,Closed,Fixed,21/Feb/17 10:24,27/Feb/24 22:24,
Bug,HIVE-15992,13044703,LLAP: NPE in LlapTaskCommunicator.getCompletedLogsUrl for unsuccessful attempt,rajesh.balamohan,rajesh.balamohan,Minor,Resolved,Fixed,21/Feb/17 03:51,21/Jul/17 18:36,
Bug,HIVE-15990,13044612,Always initialize connection properties in DruidSerDe,jcamacho,jcamacho,Critical,Closed,Fixed,20/Feb/17 17:30,27/Feb/24 22:24,
Bug,HIVE-15971,13044141,LLAP: logs urls should use daemon container id instead of fake container id,prasanth_j,prasanth_j,Major,Closed,Fixed,17/Feb/17 22:55,25/Jul/17 20:05,
