Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,HIVE-15474,13029423,Extend limit propagation for chain of RS-GB-RS operators,jcamacho,jcamacho,Major,Closed,Fixed,20/Dec/16 11:57,27/Feb/24 22:24,
Bug,HIVE-15472,13029365,JDBC: Standalone jar is missing ZK dependencies,taoli-hwx,gopalv,Major,Closed,Fixed,20/Dec/16 06:07,26/Jul/17 00:03,
Bug,HIVE-15459,13028827,Fix unit test failures on master,ashutoshc,ashutoshc,Major,Closed,Fixed,16/Dec/16 23:38,26/Jul/17 00:02,
Bug,HIVE-15445,13028712,Subquery failing with ClassCastException,jcamacho,asreekumar,Major,Closed,Fixed,16/Dec/16 16:51,27/Feb/24 22:24,
Bug,HIVE-15438,13028463,avrocountemptytbl.q should use SORT_QUERY_RESULTS,erwaman,erwaman,Major,Resolved,Fixed,15/Dec/16 18:23,21/Jul/17 18:26,
Bug,HIVE-15421,13027613,Assumption in exception handling can be wrong in DagUtils.localizeResource,wzheng,wzheng,Major,Resolved,Fixed,12/Dec/16 22:24,21/Jul/17 18:26,
Bug,HIVE-15418,13027468,"""select 'abc'"" will throw 'Cannot find path in conf'",,aihuaxu,Major,Resolved,Cannot Reproduce,12/Dec/16 14:43,12/Dec/16 22:35,
Bug,HIVE-15417,13027461,Glitches using ACID's row__id hidden column,jcamacho,cartershanklin,Major,Closed,Fixed,12/Dec/16 14:21,27/Feb/24 22:24,
Bug,HIVE-15407,13026936,"add distcp to classpath by default, because hive depends on it. ",ferhui,ferhui,Major,Resolved,Fixed,09/Dec/16 09:58,21/Jul/17 18:26,
Bug,HIVE-15403,13026900,LLAP: Login with kerberos before starting the daemon,prasanth_j,prasanth_j,Critical,Closed,Fixed,09/Dec/16 07:56,26/Jul/17 00:03,
Bug,HIVE-15378,13026290,clean up HADOOP_USER_CLASSPATH_FIRST in bin scripts,ferhui,ferhui,Major,Resolved,Fixed,07/Dec/16 08:55,21/Jul/17 18:26,
Bug,HIVE-15376,13026162,Improve heartbeater scheduling for transactions,wzheng,wzheng,Major,Closed,Fixed,06/Dec/16 23:46,26/Jul/17 00:03,
Bug,HIVE-15369,13025983,Extend column pruner to account for residual filter expression in Join operator,jcamacho,jcamacho,Major,Closed,Fixed,06/Dec/16 14:56,27/Feb/24 22:23,
Bug,HIVE-15362,13025778,Add the missing fields for 2.2.0 upgrade scripts,wzheng,wzheng,Major,Resolved,Fixed,05/Dec/16 22:49,21/Jul/17 18:26,
Bug,HIVE-15361,13025696,INSERT dynamic partition on S3 fails with a MoveTask failure,spena,spena,Critical,Resolved,Fixed,05/Dec/16 18:24,21/Jul/17 18:26,
Bug,HIVE-15355,13025446,Concurrency issues during parallel moveFile due to HDFSUtils.setFullFileStatus,vihangk1,vihangk1,Major,Closed,Fixed,04/Dec/16 21:47,20/Feb/19 11:57,
