Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,HIVE-24907,13366156,Wrong results with LEFT JOIN and subqueries with UNION and GROUP BY,zabetak,zabetak,Major,Closed,Fixed,18/Mar/21 18:18,15/Aug/24 08:57,
Bug,HIVE-24523,13345408,Vectorized read path for LazySimpleSerde does not honor the SERDEPROPERTIES for timestamp,nareshpr,Rajkumar Singh,Major,Closed,Fixed,11/Dec/20 00:07,17/Nov/22 08:47,
Bug,HIVE-23808,13315252,"""MSCK REPAIR.. DROP Partitions fail"" with kryo Exception ",asinkovits,Rajkumar Singh,Major,Resolved,Duplicate,06/Jul/20 22:20,13/Jul/20 19:05,
Bug,HIVE-23592,13308956,"Routine ""makeIntPair"" is Not Correct",belugabehr,belugabehr,Minor,Closed,Fixed,02/Jun/20 13:42,17/Nov/22 08:48,
Bug,HIVE-23454,13304428,Querying hive table which has Materialized view fails with HiveAccessControlException,vgarg,chiran54321,Critical,Closed,Fixed,12/May/20 18:22,17/Nov/22 08:47,
Bug,HIVE-22945,13288389,Hive ACID Data Corruption: Update command mess the other column data and produces incorrect result,dkuzmenko,Rajkumar Singh,Critical,Resolved,Fixed,28/Feb/20 20:08,11/Mar/20 11:47,
Bug,HIVE-22170,13254887,from_unixtime and unix_timestamp should use user session time zone,jcamacho,rtrivedi12,Major,Closed,Fixed,05/Sep/19 01:32,27/Feb/24 22:23,
Bug,HIVE-21992,13244800,REPL DUMP throws NPE when dumping Create Function event.,sankarh,sankarh,Major,Closed,Fixed,14/Jul/19 06:02,17/Nov/22 08:51,
Bug,HIVE-21970,13243778,Avoid using RegistryUtils.currentUser(),prasanth_j,prasanth_j,Major,Closed,Fixed,08/Jul/19 23:23,17/Nov/22 08:49,
Bug,HIVE-21951,13243055,Llap query on external table with header or footer returns incorrect row count.,sankarh,sankarh,Major,Resolved,Won't Fix,03/Jul/19 17:38,09/Jul/19 04:05,
Bug,HIVE-21940,13242502,Metastore: Postgres text <-> clob mismatch for PARTITION_PARAMS/PARAM_VALUE,abstractdog,abstractdog,Major,Closed,Fixed,01/Jul/19 12:10,17/Nov/22 08:50,
Bug,HIVE-21925,13241782,HiveConnection retries should support backoff,Rajkumar Singh,prasanth_j,Major,Closed,Fixed,26/Jun/19 19:26,17/Nov/22 08:51,
Bug,HIVE-21913,13240927,GenericUDTFGetSplits should handle usernames in the same way as LLAP,prasanth_j,prasanth_j,Major,Closed,Fixed,21/Jun/19 18:00,17/Nov/22 08:50,
Bug,HIVE-21850,13238280,branch-3 metastore installation installs wrong version,gates,gates,Major,Resolved,Fixed,07/Jun/19 18:54,12/Jun/19 22:54,
Bug,HIVE-21826,13237347,Backport HIVE-21786 to branch-3,gates,gates,Major,Resolved,Fixed,03/Jun/19 21:56,06/Jun/19 22:51,
Bug,HIVE-21825,13237325,Improve client error msg when Active/Passive HA is enabled,rzhappy,prasanth_j,Major,Closed,Fixed,03/Jun/19 20:31,17/Nov/22 08:51,
Bug,HIVE-21631,13228901,Enhance metastore API to allow bulk-loading materialized views,jcamacho,ccondit,Major,Closed,Fixed,18/Apr/19 16:39,27/Feb/24 22:24,
Bug,HIVE-21624,13228646,LLAP: Cpu metrics at thread level is broken,prasanth_j,ndembla,Major,Closed,Fixed,17/Apr/19 16:33,17/Nov/22 08:51,
Bug,HIVE-21597,13227105,WM trigger validation should happen at the time of create or alter,prasanth_j,prasanth_j,Major,Closed,Fixed,10/Apr/19 07:11,17/Nov/22 08:50,
Bug,HIVE-21594,13227022,Warning regarding multiple MOVE triggers is logged even if conflicting triggers are both KILL,prasanth_j,bgoerlitz,Minor,Resolved,Fixed,09/Apr/19 18:57,17/Apr/19 18:00,
Bug,HIVE-21591,13226752,Using triggers in non-LLAP mode should not require wm queue,prasanth_j,prasanth_j,Major,Closed,Fixed,08/Apr/19 17:02,17/Nov/22 08:50,
Bug,HIVE-21508,13223978,ClassCastException when initializing HiveMetaStoreClient on JDK10 or newer,ananamj,adar,Major,Closed,Fixed,26/Mar/19 08:49,21/Oct/22 06:56,
Bug,HIVE-21404,13220174,MSSQL upgrade script alters the wrong column,dlavati,dlavati-hw,Major,Closed,Fixed,07/Mar/19 12:00,17/Nov/22 08:51,
Bug,HIVE-21391,13219497,LLAP: Pool of column vector buffers can cause memory pressure,bslim,prasanth_j,Major,Resolved,Fixed,05/Mar/19 08:54,19/Jul/19 22:34,
Bug,HIVE-21390,13219494,BI split strategy does not work for blob stores,prasanth_j,prasanth_j,Major,Closed,Fixed,05/Mar/19 08:45,17/Nov/22 08:51,
Bug,HIVE-21301,13217063,Show tables statement to include views and materialized views,jcamacho,jcamacho,Major,Closed,Fixed,21/Feb/19 02:29,27/Feb/24 22:23,
Bug,HIVE-21223,13214066,CachedStore returns null partition when partition does not exist,prasanth_j,prasanth_j,Major,Closed,Fixed,06/Feb/19 03:00,17/Nov/22 08:55,
Bug,HIVE-21222,13214041,ACID: When there are no delete deltas skip finding min max keys,prasanth_j,prasanth_j,Major,Closed,Fixed,05/Feb/19 23:46,17/Nov/22 08:54,
Bug,HIVE-20841,13195215,LLAP: Make dynamic ports configurable,prasanth_j,prasanth_j,Major,Closed,Fixed,30/Oct/18 20:12,17/Nov/22 08:55,
Bug,HIVE-20656,13188257,Sensible defaults: Map aggregation memory configs are too aggressive,prasanth_j,prasanth_j,Major,Closed,Fixed,28/Sep/18 22:54,17/Nov/22 08:55,
Bug,HIVE-20649,13188023,LLAP aware memory manager for Orc writers,prasanth_j,prasanth_j,Major,Closed,Fixed,27/Sep/18 20:21,17/Nov/22 08:55,
Bug,HIVE-20648,13188018,LLAP: Vector group by operator should use memory per executor,prasanth_j,prasanth_j,Major,Closed,Fixed,27/Sep/18 20:06,01/Dec/22 09:19,
